path,length,min_id,max_id
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\.38 Special\Caught Up In You.json,6677,14,25834
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\.38 Special\Fantasy Girl.json,5842,31,28964
"C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\10,000 Maniacs\A Campfire Song.json",5402,182,29953
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\101 Strings\Theme From The Godfather.json,3104,175,29689
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\10cc\Dreadlock Holiday.1.json,25151,16,29744
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\10cc\Dreadlock Holiday.2.json,23921,35,29957
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\10cc\Dreadlock Holiday.3.json,24335,16,29671
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\10cc\Dreadlock Holiday.4.json,20369,22,29930
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\10cc\Dreadlock Holiday.json,19563,21,29900
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\10cc\I'm Not In Love.1.json,9385,11,29840
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\10cc\I'm Not In Love.2.json,9934,70,29957
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\10cc\I'm Not In Love.3.json,9381,11,29840
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\10cc\I'm Not In Love.json,9385,11,29840
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\10cc\The Things We Do for Love.json,4702,190,29451
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\1910 Fruitgum Company\Simon Says.1.json,9889,109,29709
C:\Users\hersa\PycharmProjects\TFG_INFO\tokenizer\tokens_json_bpe\clean_midi\1910 Fruitgum Company\Simon Says.json,6402,182,29749
