path_original,status,transpose,stretch,path_aug,detail
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.174, AMMFLi9E_lg.mid",OK,0,1.0,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.174_AMMFLi9E_lg__tr0__ts1p000.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.174, AMMFLi9E_lg.mid",OK,2,1.05,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.174_AMMFLi9E_lg__tr+2__ts1p050.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.174, AMMFLi9E_lg.mid",OK,-2,1.0,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.174_AMMFLi9E_lg__tr-2__ts1p000.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.174, AMMFLi9E_lg.mid",OK,-3,0.95,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.174_AMMFLi9E_lg__tr-3__ts0p950.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.174, AMMFLi9E_lg.mid",OK,-2,0.95,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.174_AMMFLi9E_lg__tr-2__ts0p950.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.174, AMMFLi9E_lg.mid",OK,-3,1.0,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.174_AMMFLi9E_lg__tr-3__ts1p000.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.186, XaBiZbgHHt0.mid",OK,0,1.0,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.186_XaBiZbgHHt0__tr0__ts1p000.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.186, XaBiZbgHHt0.mid",OK,-2,0.95,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.186_XaBiZbgHHt0__tr-2__ts0p950.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.186, XaBiZbgHHt0.mid",OK,-2,0.975,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.186_XaBiZbgHHt0__tr-2__ts0p975.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.186, XaBiZbgHHt0.mid",OK,1,1.025,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.186_XaBiZbgHHt0__tr+1__ts1p025.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.186, XaBiZbgHHt0.mid",OK,0,0.95,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.186_XaBiZbgHHt0__tr0__ts0p950.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.186, XaBiZbgHHt0.mid",OK,-3,0.975,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.186_XaBiZbgHHt0__tr-3__ts0p975.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.270, Kwf1jCPp8tc.mid",OK,0,1.0,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.270_Kwf1jCPp8tc__tr0__ts1p000.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.270, Kwf1jCPp8tc.mid",OK,-3,0.975,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.270_Kwf1jCPp8tc__tr-3__ts0p975.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.270, Kwf1jCPp8tc.mid",OK,1,1.025,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.270_Kwf1jCPp8tc__tr+1__ts1p025.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.270, Kwf1jCPp8tc.mid",OK,3,0.975,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.270_Kwf1jCPp8tc__tr+3__ts0p975.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.270, Kwf1jCPp8tc.mid",OK,3,0.95,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.270_Kwf1jCPp8tc__tr+3__ts0p950.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A major, H.270, Kwf1jCPp8tc.mid",OK,-2,1.05,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_major_H.270_Kwf1jCPp8tc__tr-2__ts1p050.mid,
"C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_clean\Bach, Carl Philipp Emanuel, Keyboard Sonata in A minor, H.131, kmHKUvaVuTY.mid",OK,0,1.0,C:\Users\herre\PycharmProjects\TFG_INFO\data\finetuning_sonatas_aug\Bach_Carl_Philipp_Emanuel_Keyboard_Sonata_in_A_minor_H.131_kmHKUvaVuTY__tr0__ts1p000.mid,
